dataset,layer,frac,method,baseline_test_auc,sae_best_test_auc,diff,sae_best_k,sae_best_sae_id,sae_better
47_reasoning_tf,24,0.4,logreg,0.7131430110422838,0.7176676541879882,0.004524643,128,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,0.4,logreg,0.799811534,0.7875660721985631,0.012245462,128,layer_24/width_16k/standard,FALSE
49_cm_isshort,24,0.4,logreg,0.9999935401455728,0.9999838503639321,9.68978E-06,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.4,logreg,0.8738939517997961,0.8293968595417702,0.044497092,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.4,logreg,0.858083458,0.8228804813883519,0.035202977,128,layer_24/width_16k/p_anneal,FALSE
52_virtue_is,24,0.4,logreg,0.9549341926607166,0.8934428010210548,0.061491392,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.4,logreg,0.6846630136189881,0.6456366105789806,0.039026403,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.4,logreg,0.9991359944703646,0.9876762127165465,0.011459782,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.4,logreg,0.98935739,0.9638377349166436,0.025519655,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.4,logreg,0.9516616314199396,0.9120328788002504,0.039628753,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.4,logreg,0.9383333333333332,0.8891666666666667,0.049166667,128,layer_24/width_16k/jumprelu_32,FALSE
60_wikidata_occupation_isathlete,24,0.4,logreg,0.9795833333333334,0.9650000000000001,0.014583333,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
61_wikidata_occupation_isactor,24,0.4,logreg,0.9554166666666666,0.9404166666666666,0.015,128,layer_24/width_16k/standard_new,FALSE
62_wikidata_occupation_ispolitician,24,0.4,logreg,0.9804166666666668,0.9658333333333333,0.014583333,128,layer_24/width_16k/gated,FALSE
63_wikidata_occupation_issinger,24,0.4,logreg,0.8970833333333333,0.8779166666666667,0.019166667,128,layer_24/width_16k/p_anneal,FALSE
64_wikidata_occupation_isresearcher,24,0.4,logreg,0.9841666666666666,0.9550000000000001,0.029166667,128,layer_24/width_16k/gated,FALSE
5_hist_fig_ismale,24,0.45,logreg,0.9946805261204024,0.980061371,0.014619155,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.45,logreg,0.9822590220375966,0.976383478,0.005875544,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.45,logreg,0.6794531405415651,0.6979773154827078,0.018524175,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.45,logreg,0.9771165506751942,0.9537992102241666,0.02331734,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.45,logreg,0.9717171717171716,0.9604040404040405,0.011313131,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.45,logreg,0.9688888888888888,0.9797979797979799,0.010909091,128,layer_24/width_16k/standard,TRUE
24_headline_isiran,24,0.45,logreg,0.9838383838383838,0.972929293,0.010909091,128,layer_24/width_16k/p_anneal,FALSE
26_headline_isfrontpage,24,0.45,logreg,0.7554279466611531,0.7707425803834218,0.015314634,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.45,logreg,0.9270342366727288,0.8787532757213635,0.048280961,128,layer_24/width_16k/gated,FALSE
41_truthqa_tf,24,0.45,logreg,0.9175757575757576,0.8533333333333333,0.064242424,128,layer_24/width_16k/jumprelu_32,FALSE
42_temp_sense,24,0.45,logreg,0.92213272,0.8722669735327963,0.049865746,128,layer_24/width_16k/standard_new,FALSE
44_phys_tf,24,0.45,logreg,0.7980228975468704,0.7944593512936065,0.003563546,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.45,logreg,0.702003557,0.6896578782172003,0.012345679,128,layer_24/width_16k/standard_new,FALSE
48_cm_correct,24,0.45,logreg,0.8123217247877145,0.7820033865437361,0.030318338,128,layer_24/width_16k/standard_new,FALSE
49_cm_isshort,24,0.45,logreg,1,0.9999859024543827,1.40975E-05,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.45,logreg,0.8665808282777969,0.8514807905277025,0.015100038,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.45,logreg,0.8624980224276287,0.8216660479410536,0.040831974,128,layer_24/width_16k/standard,FALSE
52_virtue_is,24,0.45,logreg,0.9553695257556764,0.8956149867807073,0.059754539,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.45,logreg,0.6753906978128441,0.6586545615741632,0.016736136,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.45,logreg,0.997686436,0.9812972561477048,0.01638918,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.45,logreg,0.9869723014556498,0.9561221724631075,0.030850129,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.45,logreg,0.9639611075882476,0.9196390826463751,0.044322025,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.45,logreg,0.936161616,0.9026262626262627,0.033535354,128,layer_24/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,24,0.45,logreg,0.9652525252525253,0.9264646464646464,0.038787879,128,layer_24/width_16k/batch_topk_32,FALSE
61_wikidata_occupation_isactor,24,0.45,logreg,0.8939393939393939,0.9058585858585858,0.011919192,128,layer_24/width_16k/standard_new,TRUE
62_wikidata_occupation_ispolitician,24,0.45,logreg,0.9664646464646464,0.9494949494949494,0.016969697,128,layer_24/width_16k/topk_32,FALSE
63_wikidata_occupation_issinger,24,0.45,logreg,0.915959596,0.9115151515151515,0.004444444,128,layer_24/width_16k/gated,FALSE
64_wikidata_occupation_isresearcher,24,0.45,logreg,0.941010101,0.9329292929292929,0.008080808,128,layer_24/width_16k/jumprelu_32,FALSE
5_hist_fig_ismale,24,0.5,logreg,0.9932460620121616,0.9760052976928051,0.017240764,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.5,logreg,0.9822071342056332,0.9732308326961937,0.008976302,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.5,logreg,0.6647565403088357,0.6977818237648669,0.033025283,16,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
21_headline_istrump,24,0.5,logreg,0.9754423402899152,0.9467020466525747,0.028740294,128,layer_24/width_16k/standard,FALSE
22_headline_isobama,24,0.5,logreg,0.9808,0.9412,0.0396,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.5,logreg,0.9756,0.9548,0.0208,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.5,logreg,0.9916,0.9652,0.0264,128,layer_24/width_16k/p_anneal,FALSE
26_headline_isfrontpage,24,0.5,logreg,0.716412147,0.7705754727368881,0.054163326,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.5,logreg,0.9380607280605576,0.8971183714867503,0.040942357,128,layer_24/width_16k/gated,FALSE
41_truthqa_tf,24,0.5,logreg,0.9216,0.8472000000000001,0.0744,128,layer_24/width_16k/batch_topk_32,FALSE
42_temp_sense,24,0.5,logreg,0.9457762557077626,0.8852739726027398,0.060502283,128,layer_24/width_16k/gated,FALSE
44_phys_tf,24,0.5,logreg,0.7980688855149355,0.7867973306824192,0.011271555,128,layer_24/width_16k/jumprelu_32,FALSE
47_reasoning_tf,24,0.5,logreg,0.7261732104009118,0.6942401326012639,0.031933078,128,layer_24/width_16k/standard_new,FALSE
48_cm_correct,24,0.5,logreg,0.7974345891574094,0.7769587583299861,0.020475831,128,layer_24/width_16k/standard,FALSE
49_cm_isshort,24,0.5,logreg,0.9999984491531602,0.9999627796758419,3.56695E-05,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.5,logreg,0.8833701142508866,0.8572879720971636,0.026082142,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.5,logreg,0.8650716723867068,0.8307638385940644,0.034307834,128,layer_24/width_16k/standard,FALSE
52_virtue_is,24,0.5,logreg,0.9611695711271252,0.900679967,0.060489604,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.5,logreg,0.6905998520492115,0.6506826052365894,0.039917247,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.5,logreg,0.9993889663450728,0.9878041404508933,0.011584826,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.5,logreg,0.9844791248261112,0.9619546253231576,0.0225245,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.5,logreg,0.9688301156281064,0.918118558,0.050711558,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.5,logreg,0.9556,0.93,0.0256,128,layer_24/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,24,0.5,logreg,0.9478,0.9236,0.0242,128,layer_24/width_16k/standard_new,FALSE
61_wikidata_occupation_isactor,24,0.5,logreg,0.9272,0.8839999999999999,0.0432,128,layer_24/width_16k/standard_new,FALSE
62_wikidata_occupation_ispolitician,24,0.5,logreg,0.9536,0.9359999999999999,0.0176,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
63_wikidata_occupation_issinger,24,0.5,logreg,0.8745999999999999,0.8984,0.0238,128,layer_24/width_16k/matryoshka_batch_topk_32,TRUE
64_wikidata_occupation_isresearcher,24,0.5,logreg,0.9348,0.9124,0.0224,128,layer_24/width_16k/gated,FALSE
5_hist_fig_ismale,24,0.55,logreg,0.9928053045211266,0.9800955114626289,0.012709793,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.55,logreg,0.981330141,0.9768334565874079,0.004496685,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.55,logreg,0.6929344079417405,0.7035752560133365,0.010640848,128,layer_24/width_16k/standard_new,TRUE
21_headline_istrump,24,0.55,logreg,0.9697029994610245,0.9379708201200787,0.031732179,128,layer_24/width_16k/p_anneal,FALSE
22_headline_isobama,24,0.55,logreg,0.9466666666666668,0.9551515151515151,0.008484848,128,layer_24/width_16k/jumprelu_32,TRUE
23_headline_ischina,24,0.55,logreg,0.9721212121212122,0.9555555555555555,0.016565657,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.55,logreg,0.9927272727272728,0.9624242424242424,0.03030303,128,layer_24/width_16k/standard,FALSE
26_headline_isfrontpage,24,0.55,logreg,0.7555401662049861,0.7781019290307216,0.022561763,128,layer_24/width_16k/gated,TRUE
36_sciq_tf,24,0.55,logreg,0.9357820157681654,0.877326682,0.058455334,128,layer_24/width_16k/gated,FALSE
41_truthqa_tf,24,0.55,logreg,0.8634343434343433,0.8432323232323232,0.02020202,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
42_temp_sense,24,0.55,logreg,0.9371153846153846,0.9084615384615384,0.028653846,128,layer_24/width_16k/standard,FALSE
44_phys_tf,24,0.55,logreg,0.7863965104473496,0.7815504318070718,0.004846079,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.55,logreg,0.703327922,0.680338814,0.022989108,128,layer_24/width_16k/p_anneal,FALSE
48_cm_correct,24,0.55,logreg,0.7866942003735226,0.7613200511399958,0.025374149,128,layer_24/width_16k/standard_new,FALSE
49_cm_isshort,24,0.55,logreg,0.9999952996327448,0.9999968664218297,1.56679E-06,128,layer_24/width_16k/jumprelu_32,TRUE
50_deon_isvalid,24,0.55,logreg,0.8917380077963425,0.8668871661172461,0.024850842,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.55,logreg,0.8694073463606624,0.8300550883042328,0.039352258,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.55,logreg,0.9650218624334908,0.9162642457021442,0.048757617,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.55,logreg,0.6888529223750015,0.63668668,0.052166243,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.55,logreg,0.9990035221418632,0.9842020656547299,0.014801456,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.55,logreg,0.9867590654416466,0.9583939158446246,0.02836515,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.55,logreg,0.9576679005817028,0.9185748281332629,0.039093072,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.55,logreg,0.9587878787878787,0.9381818181818181,0.020606061,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
60_wikidata_occupation_isathlete,24,0.55,logreg,0.9773737373737372,0.9701010101010101,0.007272727,128,layer_24/width_16k/jumprelu_32,FALSE
61_wikidata_occupation_isactor,24,0.55,logreg,0.926060606,0.9163636363636364,0.00969697,128,layer_24/width_16k/batch_topk_32,FALSE
62_wikidata_occupation_ispolitician,24,0.55,logreg,0.9951515151515152,0.9705050505050504,0.024646465,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
63_wikidata_occupation_issinger,24,0.55,logreg,0.9543434343434344,0.9462626262626262,0.008080808,128,layer_24/width_16k/topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.55,logreg,0.9664646464646464,0.9656565656565657,0.000808081,128,layer_24/width_16k/batch_topk_32,FALSE
5_hist_fig_ismale,24,0.6,logreg,0.9922861648634324,0.9740098369979705,0.018276328,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.6,logreg,0.9612950970127068,0.964546089,0.003250992,128,layer_24/width_16k/batch_topk_32,TRUE
7_hist_fig_ispolitician,24,0.6,logreg,0.6750607541267565,0.7038236320626672,0.028762878,128,layer_24/width_16k/jumprelu_32,TRUE
21_headline_istrump,24,0.6,logreg,0.9758906296454284,0.9391101459391683,0.036780484,128,layer_24/width_16k/standard,FALSE
22_headline_isobama,24,0.6,logreg,0.98625,0.9633333333333334,0.022916667,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.6,logreg,0.9758333333333332,0.97125,0.004583333,128,layer_24/width_16k/standard_new,FALSE
24_headline_isiran,24,0.6,logreg,0.98,0.9708333333333332,0.009166667,128,layer_24/width_16k/standard,FALSE
26_headline_isfrontpage,24,0.6,logreg,0.7190598298884451,0.7571014464652732,0.038041617,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.6,logreg,0.9367526919248716,0.890144905,0.046607787,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.6,logreg,0.8645833333333334,0.8191666666666666,0.045416667,128,layer_24/width_16k/batch_topk_32,FALSE
42_temp_sense,24,0.6,logreg,0.9544193420531114,0.8654379706698375,0.088981371,128,layer_24/width_16k/standard_new,FALSE
44_phys_tf,24,0.6,logreg,0.754900725,0.7911479944674966,0.036247269,128,layer_24/width_16k/standard_new,TRUE
47_reasoning_tf,24,0.6,logreg,0.6803411421785599,0.6985048040591602,0.018163662,128,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,0.6,logreg,0.7812980700869947,0.7745456366903218,0.006752433,128,layer_24/width_16k/p_anneal,FALSE
49_cm_isshort,24,0.6,logreg,1,0.9999870735900519,1.29264E-05,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.6,logreg,0.8751268403976163,0.8325836015563399,0.042543239,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.6,logreg,0.8764041312806194,0.8249957989167668,0.051408332,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.6,logreg,0.9283690718138774,0.8930127919487887,0.03535628,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.6,logreg,0.6928571890228927,0.6276079032070423,0.065249286,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.6,logreg,0.999575044,0.9879752071457194,0.011599837,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.6,logreg,0.988741097,0.9683577642481354,0.020383333,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.6,logreg,0.9727007577822604,0.9147903832524669,0.057910375,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.6,logreg,0.885,0.8645833333333334,0.020416667,16,layer_24/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,24,0.6,logreg,0.97375,0.9604166666666667,0.013333333,128,layer_24/width_16k/standard_new,FALSE
61_wikidata_occupation_isactor,24,0.6,logreg,0.8908333333333334,0.8858333333333334,0.005,128,layer_24/width_16k/standard_new,FALSE
62_wikidata_occupation_ispolitician,24,0.6,logreg,0.9833333333333332,0.9729166666666667,0.010416667,128,layer_24/width_16k/jumprelu_32,FALSE
63_wikidata_occupation_issinger,24,0.6,logreg,0.9483333333333333,0.9391666666666666,0.009166667,128,layer_24/width_16k/matryoshka_batch_topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.6,logreg,0.98125,0.9433333333333334,0.037916667,128,layer_24/width_16k/gated,FALSE
5_hist_fig_ismale,24,0.65,logreg,0.9899842857337642,0.973382896,0.016601389,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.65,logreg,0.9802293396599444,0.971727956,0.008501384,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.65,logreg,0.654371361,0.7002614499393245,0.045890089,128,layer_24/width_16k/p_anneal,TRUE
21_headline_istrump,24,0.65,logreg,0.9798049522095416,0.9544047667743827,0.025400185,128,layer_24/width_16k/standard_new,FALSE
22_headline_isobama,24,0.65,logreg,0.9872527472527473,0.9846153846153847,0.002637363,128,layer_24/width_16k/jumprelu_32,FALSE
23_headline_ischina,24,0.65,logreg,0.9978021978021978,0.9701098901098901,0.027692308,128,layer_24/width_16k/standard,FALSE
24_headline_isiran,24,0.65,logreg,0.9973626373626372,0.9916483516483516,0.005714286,128,layer_24/width_16k/p_anneal,FALSE
26_headline_isfrontpage,24,0.65,logreg,0.7458123696159038,0.7703245797030311,0.02451221,128,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.65,logreg,0.9328641210237112,0.8783661253596216,0.054497996,128,layer_24/width_16k/standard_new,FALSE
41_truthqa_tf,24,0.65,logreg,0.8494505494505495,0.7894505494505495,0.06,128,layer_24/width_16k/jumprelu_32,FALSE
42_temp_sense,24,0.65,logreg,0.9665263157894738,0.8776842105263158,0.088842105,128,layer_24/width_16k/standard_new,FALSE
44_phys_tf,24,0.65,logreg,0.7851696186307795,0.7623140535307672,0.022855565,128,layer_24/width_16k/jumprelu_32,FALSE
47_reasoning_tf,24,0.65,logreg,0.6655166514598541,0.6918339416058394,0.02631729,128,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,0.65,logreg,0.7924677192838929,0.7525207591933571,0.03994696,128,layer_24/width_16k/standard,FALSE
49_cm_isshort,24,0.65,logreg,1,0.9999914781636464,8.52184E-06,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.65,logreg,0.8883690568713271,0.8465353622121323,0.041833695,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.65,logreg,0.8764453034455489,0.8178116605991193,0.058633643,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.65,logreg,0.9638527269599128,0.9089445814455851,0.054908146,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.65,logreg,0.6789687896265391,0.6352210905223544,0.043747699,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.65,logreg,0.9978678365443612,0.9833091313180894,0.014558705,128,layer_24/width_16k/p_anneal,FALSE
57_wikidatais_alive,24,0.65,logreg,0.9905032655676907,0.9648985560600483,0.02560471,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.65,logreg,0.9620322394933792,0.9059729418537709,0.056059298,128,layer_24/width_16k/standard,FALSE
59_wikidata_occupation_isjournalist,24,0.65,logreg,0.911868132,0.9393406593406592,0.027472527,128,layer_24/width_16k/topk_32,TRUE
60_wikidata_occupation_isathlete,24,0.65,logreg,0.9553846153846154,0.9331868131868132,0.022197802,16,layer_24/width_16k/gated,FALSE
61_wikidata_occupation_isactor,24,0.65,logreg,0.9072527472527474,0.9415384615384617,0.034285714,128,layer_24/width_16k/standard_new,TRUE
62_wikidata_occupation_ispolitician,24,0.65,logreg,0.9898901098901098,0.9393406593406594,0.050549451,128,layer_24/width_16k/gated,FALSE
63_wikidata_occupation_issinger,24,0.65,logreg,0.9709890109890112,0.9595604395604396,0.011428571,128,layer_24/width_16k/batch_topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.65,logreg,0.9571428571428572,0.949010989,0.008131868,128,layer_24/width_16k/gated,FALSE
5_hist_fig_ismale,24,0.7,logreg,0.9928371448371448,0.9777260337260337,0.015111111,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.7,logreg,0.9766098406098408,0.971993532,0.004616309,128,layer_24/width_16k/topk_32,FALSE
7_hist_fig_ispolitician,24,0.7,logreg,0.6781667821667822,0.7085035805035804,0.030336798,128,layer_24/width_16k/p_anneal,TRUE
21_headline_istrump,24,0.7,logreg,0.969079233,0.9383728343728344,0.030706399,128,layer_24/width_16k/standard,FALSE
22_headline_isobama,24,0.7,logreg,0.9833333333333334,0.9771428571428572,0.006190476,128,layer_24/width_16k/standard_new,FALSE
23_headline_ischina,24,0.7,logreg,0.9707142857142858,0.9447619047619048,0.025952381,128,layer_24/width_16k/p_anneal,FALSE
24_headline_isiran,24,0.7,logreg,0.9464285714285714,0.9528571428571428,0.006428571,128,layer_24/width_16k/p_anneal,TRUE
26_headline_isfrontpage,24,0.7,logreg,0.7339635019635019,0.7532418572418573,0.019278355,16,layer_24/width_16k/standard_new,TRUE
36_sciq_tf,24,0.7,logreg,0.935998152,0.8741215061215062,0.061876646,128,layer_24/width_16k/gated,FALSE
41_truthqa_tf,24,0.7,logreg,0.7776190476190475,0.8009523809523809,0.023333333,128,layer_24/width_16k/jumprelu_32,TRUE
42_temp_sense,24,0.7,logreg,0.9108527131782946,0.8554491564067488,0.055403557,128,layer_24/width_16k/jumprelu_32,FALSE
44_phys_tf,24,0.7,logreg,0.7880988680988681,0.7667230307230307,0.021375837,128,layer_24/width_16k/standard_new,FALSE
47_reasoning_tf,24,0.7,logreg,0.6897373962591353,0.6815000619348446,0.008237334,128,layer_24/width_16k/standard,FALSE
48_cm_correct,24,0.7,logreg,0.7666435666435666,0.7654368214368215,0.001206745,128,layer_24/width_16k/p_anneal,FALSE
49_cm_isshort,24,0.7,logreg,1,0.999996304,3.696E-06,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.7,logreg,0.8823229383229384,0.8493841533841534,0.032938785,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.7,logreg,0.8646966966966968,0.8348958188958188,0.029800878,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.7,logreg,0.9575919372529542,0.9125514786531737,0.045040459,128,layer_24/width_16k/standard_new,FALSE
54_cs_tf,24,0.7,logreg,0.6482790482790483,0.6443446523446523,0.003934396,128,layer_24/width_16k/standard_new,FALSE
56_wikidatasex_or_gender,24,0.7,logreg,0.9995805035805037,0.9870917070917071,0.012488796,128,layer_24/width_16k/standard,FALSE
57_wikidatais_alive,24,0.7,logreg,0.9881986601986602,0.9635426195426194,0.024656041,128,layer_24/width_16k/standard_new,FALSE
58_wikidatapolitical_party,24,0.7,logreg,0.9670103092783504,0.9161668228678538,0.050843486,128,layer_24/width_16k/standard_new,FALSE
59_wikidata_occupation_isjournalist,24,0.7,logreg,0.951904762,0.9285714285714286,0.023333333,128,layer_24/width_16k/standard_new,FALSE
60_wikidata_occupation_isathlete,24,0.7,logreg,0.91,0.9285714285714285,0.018571429,128,layer_24/width_16k/standard_new,TRUE
61_wikidata_occupation_isactor,24,0.7,logreg,0.9795238095238096,0.9833333333333333,0.003809524,128,layer_24/width_16k/topk_32,TRUE
62_wikidata_occupation_ispolitician,24,0.7,logreg,0.9704761904761904,0.9538095238095238,0.016666667,128,layer_24/width_16k/gated,FALSE
63_wikidata_occupation_issinger,24,0.7,logreg,0.9371428571428572,0.9228571428571428,0.014285714,128,layer_24/width_16k/batch_topk_32,FALSE
64_wikidata_occupation_isresearcher,24,0.7,logreg,0.9447619047619048,0.9276190476190476,0.017142857,128,layer_24/width_16k/batch_topk_32,FALSE
5_hist_fig_ismale,24,0.75,logreg,0.9897331360395693,0.9705673575397605,0.019165778,128,layer_24/width_16k/standard_new,FALSE
6_hist_fig_isamerican,24,0.75,logreg,0.9425295681956934,0.9641953208265643,0.021665753,128,layer_24/width_16k/batch_topk_32,TRUE
7_hist_fig_ispolitician,24,0.75,logreg,0.6652455996937119,0.6957419728686582,0.030496373,128,layer_24/width_16k/standard,TRUE
21_headline_istrump,24,0.75,logreg,0.9682919257871918,0.9310396208648503,0.037252305,128,layer_24/width_16k/jumprelu_32,FALSE
22_headline_isobama,24,0.75,logreg,0.9562666666666666,0.9562666666666666,0,128,layer_24/width_16k/jumprelu_32,FALSE
23_headline_ischina,24,0.75,logreg,0.9877333333333332,0.9754666666666667,0.012266667,128,layer_24/width_16k/standard,FALSE
24_headline_isiran,24,0.75,logreg,0.9829333333333332,0.9632,0.019733333,128,layer_24/width_16k/standard,FALSE
26_headline_isfrontpage,24,0.75,logreg,0.7258885980070571,0.7643670905723243,0.038478493,128,layer_24/width_16k/gated,TRUE
36_sciq_tf,24,0.75,logreg,0.921803375,0.8650634823729059,0.056739893,128,layer_24/width_16k/jumprelu_32,FALSE
41_truthqa_tf,24,0.75,logreg,0.8634666666666667,0.8448,0.018666667,128,layer_24/width_16k/standard,FALSE
42_temp_sense,24,0.75,logreg,0.9049439347604484,0.8593272171253823,0.045616718,128,layer_24/width_16k/standard,FALSE
44_phys_tf,24,0.75,logreg,0.7991225256361172,0.774224191,0.024898335,128,layer_24/width_16k/standard,FALSE
47_reasoning_tf,24,0.75,logreg,0.6586302317537184,0.6863714977516431,0.027741266,128,layer_24/width_16k/standard_new,TRUE
48_cm_correct,24,0.75,logreg,0.7945613145559338,0.7605509048954378,0.03401041,128,layer_24/width_16k/topk_32,FALSE
49_cm_isshort,24,0.75,logreg,1,0.9999958609699817,4.13903E-06,128,layer_24/width_16k/jumprelu_32,FALSE
50_deon_isvalid,24,0.75,logreg,0.876685879,0.8361026893347545,0.040583189,128,layer_24/width_16k/standard_new,FALSE
51_just_is,24,0.75,logreg,0.8796452851274305,0.8439813329746175,0.035663952,128,layer_24/width_16k/standard_new,FALSE
52_virtue_is,24,0.75,logreg,0.9578682686377528,0.903295139,0.05457313,128,layer_24/width_16k/gated,FALSE
54_cs_tf,24,0.75,logreg,0.6731511470286938,0.6790844465599486,0.0059333,128,layer_24/width_16k/standard_new,TRUE
56_wikidatasex_or_gender,24,0.75,logreg,0.9936734926170052,0.9717242164298797,0.021949276,128,layer_24/width_16k/standard_new,FALSE
57_wikidatais_alive,24,0.75,logreg,0.9722985068449208,0.9420225370184498,0.03027597,128,layer_24/width_16k/standard,FALSE
58_wikidatapolitical_party,24,0.75,logreg,0.9184302427099704,0.8741924218613585,0.044237821,128,layer_24/width_16k/p_anneal,FALSE
59_wikidata_occupation_isjournalist,24,0.75,logreg,0.9029333333333333,0.8821333333333333,0.0208,16,layer_24/width_16k/batch_topk_32,FALSE
60_wikidata_occupation_isathlete,24,0.75,logreg,0.9898666666666668,0.9685333333333334,0.021333333,128,layer_24/width_16k/standard_new,FALSE
61_wikidata_occupation_isactor,24,0.75,logreg,0.9637333333333332,0.9461333333333334,0.0176,128,layer_24/width_16k/gated,FALSE
